Код диагноза,Название диагноза,Код родителя
S62.81,Перелом другой и неуточненной части запястья и кисти открытый,S62.8
S63,"Вывих, растяжение и перенапряжение капсульно-связочного аппарата на уровне запястья и кисти",S60-S69
S63.0,Вывих запястья,S63
S63.1,Вывих пальца кисти,S63
S63.2,Множественные вывихи пальцев кисти,S63
S63.3,Травматический разрыв связки запястья и пясти,S63
S63.4,Травматический разрыв связки пальца на уровне пястно-фалангового и межфалангового сустава(ов),S63
S63.5,Растяжение и перенапряжение капсульно-связочного аппарата на уровне запястья,S63
S63.6,Растяжение и перенапряжение капсульно-связочного аппарата на уровне пальца,S63
S63.7,Растяжение и перенапряжение капсульно-связочного аппарата другой и неуточненной части кисти,S63
S64,Травма нервов на уровне запястья и кисти,S60-S69
S64.0,Травма локтевого нерва на уровне запястья и кисти,S64
S64.1,Травма срединного нерва на уровне запястья и кисти,S64
S64.2,Травма лучевого нерва на уровне запястья и кисти,S64
S64.3,Травма нерва большого пальца,S64
S64.4,Травма нерва другого пальца,S64
S64.7,Травма нескольких нервов на уровне запястья и кисти,S64
S64.8,Травма других нервов на уровне запястья и кисти,S64
S64.9,Травма неуточненного нерва на уровне запястья и кисти,S64
S65,Травма кровеносных сосудов на уровне запястья и кисти,S60-S69
S65.0,Травма локтевой артерии на уровне запястья и кисти,S65
S65.1,Травма лучевой артерии на уровне запястья и кисти,S65
S65.2,Травма поверхностной ладонной дуги,S65
S65.3,Травма глубокой ладонной дуги,S65
S65.4,Травма кровеносного сосуда(ов) большого пальца,S65
S65.5,Травма кровеносного(ых) сосуда(ов) другого пальца,S65
S65.7,Травма нескольких кровеносных сосудов на уровне запястья и кисти,S65
S65.8,Травма других кровеносных сосудов на уровне запястья и кисти,S65
S65.9,Травма неуточненного кровеносного сосуда на уровне запястья и кисти,S65
S66,Травма мышцы и сухожилия на уровне запястья и кисти,S60-S69
S66.0,Травма длинного сгибателя большого пальца и его сухожилия на уровне запястья и кисти,S66
S66.1,Травма сгибателя другого пальца и его сухожилия на уровне запястья и кисти,S66
S66.2,Травма разгибателя большого пальца и его сухожилия на уровне запястья и кисти,S66
S66.3,Травма разгибателя другого пальца и его сухожилия на уровне запястья и кисти,S66
S66.4,Травма собственной мышцы и сухожилия большого пальца на уровне запястья и кисти,S66
S66.5,Травма собственной мышцы и сухожилия другого пальца на уровне запястья и кисти,S66
S66.6,Травма нескольких мышц-сгибателей и сухожилий на уровне запястья и кисти,S66
S66.7,Травма нескольких мышц-разгибателей и сухожилий на уровне запястья и кисти,S66
S66.8,Травма других мышц и сухожилий на уровне запястья и кисти,S66
S66.9,Травма неуточненных мышц и сухожилий на уровне запястья и кисти,S66
S67,Размозжение запястья и кисти,S60-S69
S67.0,Размозжение большого и другого пальца(ев) кисти,S67
S67.8,Размозжение другой и неуточненной части запястья и кисти,S67
S68,Травматическая ампутация запястья и кисти,S60-S69
S68.0,Травматическая ампутация большого пальца кисти (полная) (частичная),S68
S68.1,Травматическая ампутация другого одного пальца кисти (полная) (частичная),S68
S68.2,Травматическая ампутация двух и более пальцев кисти (полная) (частичная),S68
S68.3,Сочетанная травматическая ампутация (части) пальца(ев) и других частей запястья и кисти,S68
S68.4,Травматическая ампутация кисти на уровне запястья,S68
S68.8,Травматическая ампутация других частей запястья и кисти,S68
S68.9,Травматическая ампутация запястья и кисти на неуточненном уровне,S68
S69,Другие и неуточненные травмы запястья и кисти,S60-S69
S69.7,Множественные травмы запястья и кисти,S69
S69.8,Другие уточненные травмы запястья и кисти,S69
S69.9,Травма запястья и кисти неуточненная,S69
S70-S79,ТРАВМЫ ОБЛАСТИ ТАЗОБЕДРЕННОГО СУСТАВА И БЕДРА (S70-S79),S00-T98
S70,Поверхностная травма области тазобедренного сустава и бедра,S70-S79
S70.0,Ушиб области тазобедренного сустава,S70
S70.1,Ушиб бедра,S70
S70.7,Множественные поверхностные травмы области тазобедренного сустава и бедра,S70
S70.8,Другие поверхностные травмы области тазобедренного сустава и бедра,S70
S70.9,Поверхностная травма области тазобедренного сустава и бедра неуточненная,S70
S71,Открытая рана области тазобедренного сустава и бедра,S70-S79
S71.0,Открытая рана области тазобедренного сустава,S71
S71.1,Открытая рана бедра,S71
S71.7,Множественные открытые раны области тазобедренного сустава и бедра,S71
S71.8,Открытая рана другой и неуточненной части тазового пояса,S71
S72,Перелом бедренной кости,S70-S79
S72.0,Перелом шейки бедра,S72
S72.00,Перелом шейки бедра закрытый,S72.0
S72.01,Перелом шейки бедра открытый,S72.0
S72.1,Чрезвертельный перелом,S72
S72.10,Чрезвертельный перелом закрытый,S72.1
S72.11,Чрезвертельный перелом открытый,S72.1
S72.2,Подвертельный перелом,S72
S72.20,Подвертельный перелом закрытый,S72.2
S72.21,Подвертельный перелом открытый,S72.2
S72.3,Перелом тела [диафиза] бедренной кости,S72
S72.30,Перелом тела [диафиза] бедренной кости закрытый,S72.3
S72.31,Перелом тела [диафиза] бедренной кости открытый,S72.3
S72.4,Перелом нижнего конца бедренной кости,S72
S72.40,Перелом нижнего конца бедренной кости закрытый,S72.4
S72.41,Перелом нижнего конца бедренной кости открытый,S72.4
S72.7,Множественные переломы бедренной кости,S72
S72.70,Множественные переломы бедренной кости закрытые,S72.7
S72.71,Множественные переломы бедренной кости открытые,S72.7
S72.8,Переломы других частей бедренной кости,S72
S72.80,Переломы других частей бедренной кости закрытые,S72.8
S72.81,Переломы других частей бедренной кости открытые,S72.8
S72.9,Перелом неуточненной части бедренной кости,S72
S72.90,Перелом неуточненной части бедренной кости закрытый,S72.9
S72.91,Перелом неуточненной части бедренной кости открытый,S72.9
S73,"Вывих, растяжение и перенапряжение капсульно-связочного аппарата тазобедренного сустава и тазового пояса",S70-S79
S73.0,Вывих бедра,S73
S73.1,Растяжение и перенапряжение капсульно-связочного аппарата тазобедренного сустава,S73
S74,Травма нервов на уровне тазобедренного сустава бедра,S70-S79
S74.0,Травма седалищного нерва на уровне тазобедренного сустава и бедра,S74
S74.1,Травма бедренного нерва на уровне тазобедренного сустава и бедра,S74
S74.2,Травма кожного чувствительного нерва на уровне тазобедренного сустава и бедра,S74
S74.7,Травма нескольких нервов на уровне тазобедренного сустава и бедра,S74
S74.8,Травма других нервов на уровне тазобедренного сустава и бедра,S74
S74.9,Травма неуточненного нерва на уровне тазобедренного сустава и бедра,S74
S75,Травма кровеносных сосудов на уровне тазобедренного сустава и бедра,S70-S79
S75.0,Травма бедренной артерии,S75
S75.1,Травма бедренной вены,S75
S75.2,Травма большой подкожной вены на уровне тазобедренного сустава и бедра,S75
S75.7,Травма нескольких кровеносных сосудов на уровне тазобедренного сустава и бедра,S75
S75.8,Травма других кровеносных сосудов на уровне тазобедренного сустава и бедра,S75
S75.9,Травма неуточненного кровеносного сосуда на уровне тазобедренного сустава и бедра,S75
S76,Травма мышцы и сухожилия области тазобедренного сустава и бедра,S70-S79
S76.0,Травма мышцы и сухожилия области тазобедренного сустава,S76
S76.1,Травма четырехглавой мышцы и ее сухожилия,S76
S76.2,Травма приводящей мышцы бедра и ее сухожилия,S76
S76.3,Травма мышцы и сухожилия из задней группы мышц на уровне бедра,S76
S76.4,Травма других и неуточненных мышц и сухожилий на уровне бедра,S76
S76.7,Травма нескольких мышц и сухожилий на уровне тазобедренного сустава и бедра,S76
S77,Размозжение области тазобедренного сустава и бедра,S70-S79
S77.0,Размозжение области тазобедренного сустава,S77
S77.1,Размозжение бедра,S77
S77.2,Размозжение области тазобедренного сустава и бедра,S77
S78,Травматическая ампутация области тазобедренного сустава и бедра,S70-S79
S78.0,Травматическая ампутация на уровне тазобедренного сустава,S78
S78.1,Травматическая ампутация на уровне между тазобедренным и коленным суставами,S78
S78.9,Травматическая ампутация области тазобедренного сустава и бедра на неуточненном уровне,S78
S79,Другие и неуточненные травмы области тазобедренного сустава и бедра,S70-S79
S79.7,Множественные травмы области тазобедренного сустава и бедра,S79
S79.8,Другие уточненные травмы области тазобедренного сустава и бедра,S79
S79.9,Травма области тазобедренного сустава и бедра неуточненная,S79
S80-S89,ТРАВМЫ КОЛЕНА И ГОЛЕНИ (S80-S89),S00-T98
S80,Поверхностная травма голени,S80-S89
S80.0,Ушиб коленного сустава,S80
S80.1,Ушиб другой и неуточненной части голени,S80
S80.7,Множественные поверхностные травмы голени,S80
S80.8,Другие поверхностные травмы голени,S80
S80.9,Поверхностная травма голени неуточненная,S80
S81,Открытая рана голени,S80-S89
S81.0,Открытая рана коленного сустава,S81
S81.7,Множественные открытые раны голени,S81
S81.8,Открытая рана других частей голени,S81
S81.9,Открытая рана голени неуточненной локализации,S81
S82,"Перелом костей голени, включая голеностопный сустав",S80-S89
S82.0,Перелом надколенника,S82
S82.00,Перелом надколенника закрытый,S82.0
S82.01,Перелом надколенника открытый,S82.0
S82.1,Перелом проксимального отдела большеберцовой кости,S82
S82.10,Перелом проксимального отдела большеберцовой кости закрытый,S82.1
S82.11,Перелом проксимального отдела большеберцовой кости открытый,S82.1
S82.2,Перелом тела [диафиза] большеберцовой кости,S82
S82.20,Перелом тела [диафиза] большеберцовой кости закрытый,S82.2
S82.21,Перелом тела [диафиза] большеберцовой кости открытый,S82.2
S82.3,Перелом дистального отдела большеберцовой кости,S82
S82.30,Перелом дистального отдела большеберцовой кости закрытый,S82.3
S82.31,Перелом дистального отдела большеберцовой кости открытый,S82.3
S82.4,Перелом только малоберцовой кости,S82
S82.40,Перелом только малоберцовой кости закрытый,S82.4
S82.41,Перелом только малоберцовой кости открытый,S82.4
S82.5,Перелом внутренней [медиальной] лодыжки,S82
S82.50,Перелом внутренней [медиальной] лодыжки закрытый,S82.5
S82.51,Перелом внутренней [медиальной] лодыжки открытый,S82.5
S82.6,Перелом наружной [латеральной] лодыжки,S82
S82.60,Перелом наружной [латеральной] лодыжки закрытый,S82.6
S82.61,Перелом наружной [латеральной] лодыжки открытый,S82.6
S82.7,Множественные переломы голени,S82
S82.70,Множественные переломы голени закрытые,S82.7
S82.71,Множественные переломы голени открытые,S82.7
S82.8,Переломы других отделов голени,S82
S82.80,Переломы других отделов голени закрытые,S82.8
S82.81,Переломы других отделов голени открытые,S82.8
S82.9,Перелом неуточненного отдела голени,S82
S82.90,Перелом неуточненного отдела голени закрытый,S82.9
S82.91,Перелом неуточненного отдела голени открытый,S82.9
S83,"Вывих, растяжение и перенапряжение капсульно-связочного аппарата коленного сустава",S80-S89
S83.0,Вывих надколенника,S83
S83.1,Вывих коленного сустава,S83
S83.2,Разрыв мениска свежий,S83
S83.3,Разрыв суставного хряща коленного сустава свежий,S83
S83.4,"Растяжение, разрыв и перенапряжение (наружной) (внутренней) боковой связки коленного сустава",S83
S83.5,"Растяжение, разрыв и перенапряжение (передней) (задней) крестообразной связки коленного сустава",S83
S83.6,"Растяжение, разрыв и перенапряжение других и неуточненных элементов коленного сустава",S83
S83.7,Травма нескольких структур коленного сустава,S83
S84,Травма нервов на уровне голени,S80-S89
S84.0,Травма большеберцового нерва на уровне голени,S84
S84.1,Травма малоберцового нерва на уровне голени,S84
S84.2,Травма кожного чувствительного нерва на уровне голени,S84
S84.7,Травма нескольких нервов на уровне голени,S84
S84.8,Травма других нервов на уровне голени,S84
S84.9,Травма неуточненного нерва на уровне голени,S84
S85,Травма кровеносных сосудов на уровне голени,S80-S89
S85.0,Травма подколенной артерии,S85
S85.1,Травма большеберцовой (передней) (задней) артерии,S85
S85.2,Травма малоберцовой артерии,S85
S85.3,Травма большой подкожной вены на уровне голени,S85
S85.4,Травма малой подкожной вены на уровне голени,S85
S85.5,Травма подколенной вены,S85
S85.7,Травма нескольких кровеносных сосудов на уровне голени,S85
S85.8,Травма других кровеносных сосудов на уровне голени,S85
S85.9,Травма неуточненного кровеносного сосуда на уровне голени,S85
S86,Травма мышцы и сухожилия на уровне голени,S80-S89
S86.0,Травма пяточного [ахиллова] сухожилия,S86
S86.1,Травма другой(их) мышцы(мышц) и сухожилия(ий) задней мышечной группы на уровне голени,S86
S86.2,Травма мышцы(мышц) и сухожилия(ий) передней мышечной группы на уровне голени,S86
S86.3,Травма мышцы(мышц) и сухожилия(ий) малоберцовой мышечной группы на уровне голени,S86
S86.7,Травма нескольких мышц и сухожилий на уровне голени,S86
S86.8,Травма других мышц и сухожилий на уровне голени,S86
S86.9,Травма неуточненных мышц и сухожилий на уровне голени,S86
S87,Размозжение голени,S80-S89
S87.0,Размозжение коленного сустава,S87
S87.8,Размозжение другой и неуточненной части голени,S87
S88,Травматическая ампутация голени,S80-S89
S88.0,Травматическая ампутация на уровне коленного сустава,S88
S88.1,Травматическая ампутация на уровне между коленным и голеностопным суставами,S88
S88.9,Травматическая ампутация голени на неуточненном уровне,S88
S89,Другие и неуточненные травмы голени,S80-S89
S89.7,Множественные травмы голени,S89
S89.8,Другие уточненные травмы голени,S89
S89.9,Травма голени неуточненная,S89
S90-S99,ТРАВМЫ ОБЛАСТИ ГОЛЕНОСТОПНОГО СУСТАВА И СТОПЫ (S90-S99),S00-T98
S90,Поверхностная травма области голеностопного сустава и стопы,S90-S99
S90.0,Ушиб голеностопного сустава,S90
S90.1,Ушиб пальца(ев) стопы без повреждения ногтевой пластинки,S90
S90.2,Ушиб пальца(ев) стопы с повреждением ногтевой пластинки,S90
S90.3,Ушиб другой и неуточненной части стопы,S90
S90.7,Множественные поверхностные травмы голеностопного сустава и стопы,S90
S90.8,Другие поверхностные травмы голеностопного сустава и стопы,S90
S90.9,Поверхностная травма голеностопного сустава и стопы неуточненная,S90
S91,Открытая рана области голеностопного сустава и стопы,S90-S99
S91.0,Открытая рана области голеностопного сустава,S91
S91.1,Открытая рана пальца(ев) стопы без повреждения ногтевой пластинки,S91
S91.2,Открытая рана пальца(ев) стопы с повреждением ногтевой пластинки,S91
S91.3,Открытая рана других частей стопы,S91
S91.7,Множественные открытые раны голеностопного сустава и стопы,S91
S92,"Перелом стопы, исключая перелом голеностопного сустава",S90-S99
S92.0,Перелом пяточной кости,S92
S92.00,Перелом пяточной кости закрытый,S92.0
S92.01,Перелом пяточной кости открытый,S92.0
S92.1,Перелом таранной кости,S92
S92.10,Перелом таранной кости закрытый,S92.1
S92.11,Перелом таранной кости открытый,S92.1
S92.2,Перелом других костей предплюсны,S92
S92.20,Перелом других костей предплюсны закрытый,S92.2
S92.21,Перелом других костей предплюсны открытый,S92.2
S92.3,Перелом костей плюсны,S92
S92.30,Перелом костей плюсны закрытый,S92.3
S92.31,Перелом костей плюсны открытый,S92.3
S92.4,Перелом большого пальца стопы,S92
S92.40,Перелом большого пальца стопы закрытый,S92.4
S92.41,Перелом большого пальца стопы открытый,S92.4
S92.5,Перелом другого пальца стопы,S92
S92.50,Перелом другого пальца стопы закрытый,S92.5
S92.51,Перелом другого пальца стопы открытый,S92.5
S92.7,Множественные переломы стопы,S92
S92.70,Множественные переломы стопы закрытые,S92.7
S92.71,Множественные переломы стопы открытые,S92.7
S92.9,Перелом стопы неуточненный,S92
S92.90,Перелом стопы неуточненный закрытый,S92.9
S92.91,Перелом стопы неуточненный открытый,S92.9
S93,"Вывих, растяжение и перенапряжение капсульно-связочного аппарата голеностопного сустава и стопы",S90-S99
S93.0,Вывих голеностопного сустава,S93
S93.1,Вывих пальца(ев) стопы,S93
S93.2,Разрыв связок на уровне голеностопного сустава и стопы,S93
S93.3,Вывих другой и неуточненной части стопы,S93
S93.4,Растяжение и перенапряжение связок голеностопного сустава,S93
S93.5,Растяжение и перенапряжение капсульно-связочного аппарата суставов пальца(ев) стопы,S93
S93.6,Растяжение и перенапряжение капсульно-связочного аппарата других и неуточненных суставов стопы,S93
S94,Травма нервов на уровне голеностопного сустава и стопы,S90-S99
S94.0,Травма наружного [латерального] подошвенного нерва,S94
S94.1,Травма внутреннего [медиального] подошвенного нерва,S94
S94.2,Травма глубокого малоберцового нерва на уровне голеностопного сустава и стопы,S94
S94.3,Травма кожного чувствительного нерва на уровне голеностопного сустава и стопы,S94
S94.7,Травма нескольких нервов на уровне голеностопного сустава и стопы,S94
S94.8,Травма других нервов на уровне голеностопного сустава и стопы,S94
S94.9,Травма неуточненного нерва на уровне голеностопного сустава и стопы,S94
S95,Травма кровеносных сосудов на уровне голеностопного сустава и стопы,S90-S99
S95.0,Травма тыльной [дорсальной] артерии стопы,S95
S95.1,Травма подошвенной артерии стопы,S95
S95.2,Травма тыльной [дорсальной] вены стопы,S95
S95.7,Травма нескольких кровеносных сосудов на уровне голеностопного сустава и стопы,S95
S95.8,Травма других кровеносных сосудов на уровне голеностопного сустава и стопы,S95
S95.9,Травма неуточненного кровеносного сосуда на уровне голеностопного сустава и стопы,S95
S96,Травма мышцы и сухожилия на уровне голеностопного сустава и стопы,S90-S99
S96.0,Травма длинного сгибателя пальца и его сухожилия на уровне голеностопного сустава и стопы,S96
S96.1,Травма длинного разгибателя пальца и его сухожилия на уровне голеностопного сустава и стопы,S96
S96.2,Травма собственной мышцы и сухожилия на уровне голеностопного сустава и стопы,S96
S96.7,Травма нескольких мышц и сухожилий на уровне голеностопного сустава и стопы,S96
S96.8,Травма другой мышцы и сухожилия на уровне голеностопного сустава и стопы,S96
S96.9,Травма неуточненных мышц и сухожилий на уровне голеностопного сустава и стопы,S96
S97,Размозжение голеностопного сустава и стопы,S90-S99
S97.0,Размозжение голеностопного сустава,S97
S97.1,Размозжение пальца(ев) стопы,S97
S97.8,Размозжение других отделов голеностопного сустава и стопы,S97
S98,Травматическая ампутация на уровне голеностопного сустава и стопы,S90-S99
S98.0,Травматическая ампутация стопы на уровне голеностопного сустава,S98
S98.1,Травматическая ампутация одного пальца стопы,S98
S98.2,Травматическая ампутация двух и более пальцев стопы,S98
S98.3,Травматическая ампутация других частей стопы,S98
S98.4,Травматическая ампутация стопы на неуточненном уровне,S98
S99,Другие и неуточненные травмы голеностопного сустава и стопы,S90-S99
S99.7,Множественные травмы голеностопного сустава и стопы,S99
S99.8,Другие уточненные травмы голеностопного сустава и стопы,S99
S99.9,Травма голеностопного сустава и стопы неуточненная,S99
T00-T07,"ТРАВМЫ, ЗАХВАТЫВАЮЩИЕ НЕСКОЛЬКО ОБЛАСТЕЙ ТЕЛА (T00-T07)",S00-T98
T00,"Поверхностные травмы, захватывающие несколько областей тела",T00-T07
T00.0,Поверхностные травмы шеи,T00
T00.1,"Поверхностные травмы грудной клетки, живота, нижней части спины и таза",T00
T00.2,Поверхностные травмы нескольких областей верхней(их) конечности(ей),T00
T00.3,Поверхностные травмы нескольких областей нижней(их) конечности(ей),T00
T00.6,Поверхностные травмы нескольких областей верхней(их) и нижней(их) конечностей,T00
T00.8,"Другие сочетания поверхностных травм, захватывающих несколько областей тела",T00
T00.9,Множественные поверхностные травмы неуточненные,T00
T01,"Открытые раны, захватывающие несколько областей тела",T00-T07
T01.0,Открытые раны головы и шеи,T01
T01.1,"Открытые раны грудной клетки, живота, нижней части спины и таза",T01
T01.2,Открытые раны нескольких областей верхней(их) конечности(ей),T01
T01.3,Открытые раны нескольких областей нижней(их) конечности(ей),T01
T01.6,Открытые раны нескольких областей верхней(их) и нижней(их) конечностей,T01
T01.8,"Другие сочетания открытых ран, захватывающих несколько областей тела",T01
T01.9,Множественные открытые раны неуточненные,T01
T02,"Переломы, захватывающие несколько областей тела",T00-T07
T02.0,Переломы в области головы и шеи,T02
T02.00,Переломы в области головы и шеи закрытые,T02.0
T02.01,Переломы в области головы и шеи открытые,T02.0
T02.1,"Переломы в области грудной клетки, нижней части спины и таза",T02
T02.10,"Переломы в области грудной клетки, нижней части спины и таза закрытые",T02.1
T02.11,"Переломы в области грудной клетки, нижней части спины и таза открытые",T02.1
T02.2,"Переломы, захватывающие несколько областей одной верхней конечности",T02
T02.20,"Переломы, захватывающие несколько областей одной верхней конечности закрытые",T02.2
T02.21,"Переломы, захватывающие несколько областей одной верхней конечности открытые",T02.2
T02.3,"Переломы, захватывающие несколько областей одной нижней конечности",T02
T02.30,"Переломы, захватывающие несколько областей одной нижней конечности закрытые",T02.3
T02.31,"Переломы, захватывающие несколько областей одной нижней конечности открытые",T02.3
T02.4,"Переломы, захватывающие несколько областей обеих верхних конечностей",T02
T02.40,"Переломы, захватывающие несколько областей обеих верхних конечностей закрытые",T02.4
T02.41,"Переломы, захватывающие несколько областей обеих верхних конечностей открытые",T02.4
T02.5,"Переломы, захватывающие несколько областей обеих нижних конечностей",T02
T02.50,"Переломы, захватывающие несколько областей обеих нижних конечностей закрытые",T02.5
T02.51,"Переломы, захватывающие несколько областей обеих нижних конечностей открытые",T02.5
T02.6,"Переломы, захватывающие несколько областей верхней(их) и нижней(их) конечностей",T02
T02.60,"Переломы, захватывающие несколько областей верхней(их) и нижней(их) конечностей закрытые",T02.6
T02.61,"Переломы, захватывающие несколько областей верхней(их) и нижней(их) конечностей открытые",T02.6
T02.7,"Переломы, захватывающие грудную клетку, нижнюю часть спины, таз и конечность(ти)",T02
T02.70,"Переломы, захватывающие грудную клетку, нижнюю часть спины, таз и конечность(ти) закрытые",T02.7
T02.71,"Переломы, захватывающие грудную клетку, нижнюю часть спины, таз и конечность(ти) открытые",T02.7
T02.8,"Другие сочетания переломов, захватывающих несколько областей тела",T02
T02.80,"Другие сочетания переломов, захватывающих несколько областей тела закрытые",T02.8
T02.81,"Другие сочетания переломов, захватывающих несколько областей тела открытые",T02.8
T02.9,Множественные переломы неуточненные,T02
T02.90,Множественные переломы неуточненные закрытые,T02.9
T02.91,Множественные переломы неуточненные открытые,T02.9
T03,"Вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов, захватывающие несколько областей тела",T00-T07
T03.0,"Вывихи, растяжения и перенапряжения капсульно-связочного аппаратата суставов, захватывающие область головы и шеи",T03
T03.1,"Вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов грудной клетки, нижней части спины и таза",T03
T03.2,"Вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов нескольких областей верхней(их) конечности(ей)",T03
T03.3,"Вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов нескольких областей нижней(их) конечности(ей)",T03
T03.4,"Вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов нескольких областей верхней(их) и нижней(их) конечностей",T03
T03.8,"Другие сочетания вывихов, растяжений и перенапряжений капсульно-связочного аппарата суставов нескольких областей тела",T03
T03.9,"Множественные вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов неуточненные",T03
T04,"Размозжения, захватывающие несколько областей тела",T00-T07
T04.0,Размозжение головы и шеи,T04
T04.1,"Размозжение грудной клетки, области живота, нижней части спины и таза",T04
T04.2,Размозжение нескольких областей верхней(их) конечности(ей),T04
T04.3,Размозжение нескольких областей нижней(их) конечности(ей),T04
T04.4,Размозжение нескольких областей верхней(их) и нижней(их) конечностей,T04
T04.7,"Размозжение грудной клетки, живота, нижней части спины, таза и конечности(ей)",T04
T04.8,Другие сочетания размозжений нескольких областей тела,T04
T04.9,Множественные размозжения неуточненные,T04
T05,"Травматические ампутации, захватывающие несколько областей тела",T00-T07
T05.0,Травматическая ампутация обеих кистей,T05
T05.1,"Травматическая ампутация кисти одной руки в сочетании с ампутацией другой руки на любом уровне, кроме кисти",T05
T05.2,Травматическая ампутация обеих рук на любом уровне,T05
T05.3,Травматическая ампутация обеих стоп,T05
T05.4,"Травматическая ампутация одной стопы в сочетании с ампутацией другой ноги на любом уровне, кроме стопы",T05
T05.5,Травматическая ампутация обеих нижних конечностей на любом уровне,T05
T05.6,"Травматическая ампутация верхней и нижней конечностей, любая комбинация [любых уровней]",T05
T05.8,"Травматические ампутации, захватывающие другие области тела в разных комбинациях",T05
T05.9,Множественные травматические ампутации неуточненные,T05
T06,"Другие травмы, охватывающие несколько областей тела, не классифицированные в других рубриках",T00-T07
T06.0,Травмы головного мозга и черепных нервов в сочетании с травмами спинного мозга и других нервов на уровне шеи,T06
T06.1,Травмы нервов и спинного мозга с вовлечением нескольких других областей тела,T06
T06.2,Травмы нервов с вовлечением нескольких областей тела,T06
T06.3,Травмы кровеносных сосудов с вовлечением нескольких областей тела,T06
T06.4,Травмы мышц и сухожилий с вовлечением нескольких областей тела,T06
T06.5,Травмы органов грудной клетки в сочетании с травмами органов брюшной полости и таза,T06
T06.8,Другие уточненные травмы с вовлечением нескольких областей тела,T06
T07,Множественные травмы неуточненные,T00-T07
T08-T14,"ТРАВМЫ НЕУТОЧНЕННОЙ ЧАСТИ ТУЛОВИЩА, КОНЕЧНОСТИ ИЛИ ОБЛАСТИ ТЕЛА (T08-T14)",S00-T98
T08,Перелом позвоночника на неуточненном уровне,T08-T14
T08.0,Перелом позвоночника на неуточненном уровне закрытый,T08
T08.1,Перелом позвоночника на неуточненном уровне открытый,T08
T09,Другие травмы позвоночника и туловища на неуточненном уровне,T08-T14
T09.0,Поверхностные травмы туловища на неуточненном уровне,T09
T09.1,Открытая рана туловища на неуточненном уровне,T09
T09.2,"Вывих, растяжение и перенапряжение капсульно-связочного аппаратата на неуточненном уровне туловища",T09
T09.3,Травма спинного мозга на неуточненном уровне,T09
T09.4,"Травма неуточненных нерва, корешка спинного мозга и нервного сплетения туловища",T09
T09.5,Травма неуточненных мышцы и сухожилия туловища,T09
T09.6,Травматическая ампутация туловища на неуточненном уровне,T09
T09.8,Другие уточненные травмы туловища на неуточненном уровне,T09
