code;classification
G04CB02;Dutasteride
G04CX;Прочие препараты для лечения доброкачественной гиперплазии предстательной железы
G04CX01;Pygeum africanum
G04CX02;Serenoa repens
G04CX03;Mepartricin
H;Гормоны для системного применения (исключая половые гормоны и инсулины)
H01;Гормоны гипоталамуса и гипофиза и их аналоги
H01A;Гормоны передней доли гипофиза и их аналоги
H01AA;АКТГ
H01AA01;Corticotropin
H01AA02;Tetracosactide
H01AB;Тиротропин
H01AB01;Thyrotropin alfa
H01AC;Соматропин и его аналоги
H01AC01;Somatropin
H01AC02;Somatrem
H01AC03;Mecasermin
H01AC04;Sermorelin
H01AC05;Mecasermin rinfabate
H01AX;Другие гормоны передней доли гипофиза и их аналоги
H01AX01;Pegvisomant
H01B;Гормоны задней доли гипофиза
H01BA;Вазопрессин и его аналоги
H01BA01;Vasopressin
H01BA02;Desmopressin
H01BA03;Lypressin
H01BA04;Terlipressin
H01BA05;Ornipressin
H01BA06;Argipressin
H01BB;Окситоцин и его производные
H01BB01;Demoxytocin
H01BB02;Oxytocin
H01BB03;Carbetocin
H01C;Гормоны гипоталамуса
H01CA;Гонадотропин-рилизинг гормоны
H01CA01;Gonadorelin
H01CA02;Nafarelin
H01CA03;Histrelin
H01CB;Гормоны, замедляющие рост
H01CB01;Somatostatin
H01CB02;Octreotide
H01CB03;Lanreotide
H01CB04;Vapreotide
H01CB05;Pasireotide
H01CC;Антигонадотропин-рилизинг гормон
H01CC01;Ganirelix
H01CC02;Cetrorelix
H02;Кортикостероиды для системного применения
H02A;Кортикостероиды для системного применения
H02AA;Минералокортикоиды
H02AA01;Aldosterone
H02AA02;Fludrocortisone
H02AA03;Desoxycortone
H02AB;Глюкокортикоиды
H02AB01;Betamethasone
H02AB02;Dexamethasone
H02AB03;Fluocortolone
H02AB04;Methylprednisolone
H02AB05;Paramethasone
H02AB06;Prednisolone
H02AB07;Prednisone
H02AB08;Triamcinolone
H02AB09;Hydrocortisone
H02AB10;Cortisone
H02AB11;Prednylidene
H02AB12;Rimexolone
H02AB13;Deflazacort
H02AB14;Cloprednol
H02AB15;Meprednisone
H02AB17;Cortivazol
H02B;Комбинации кортикостероидов для системного применения
H02BX;Комбинации кортикостероидов для системного применения
H02BX01;Метилпреднизолон в комбинации с другими препаратами
H02C;Препараты, подавляющие функцию коры надпочечников
H02CA;Ингибиторы синтеза кортикостероидов
H02CA01;Trilostane
H03;Препараты для лечения заболеваний щитовидной железы
H03A;Препараты для лечения заболеваний щитовидной железы
H03AA;Гормоны щитовидной железы
H03AA01;Levothyroxine sodium
H03AA02;Liothyronine sodium
H03AA03;Левотироксин в комбинации с лиотиронином
H03AA04;Tiratricol
H03AA05;Препараты из ткани щитовидной железы
H03B;Антитиреоидные препараты
H03BA;Производные тиоурацила
H03BA01;Methylthiouracil
H03BA02;Propylthiouracil
H03BA03;Benzylthiouracil
H03BB;Производные имидазола, содержащие серу
H03BB01;Carbimazole
H03BB02;Thiamazole
H03BB52;Тиамазол в комбинации с другими препаратами
H03BC;Перхлораты
H03BC01;Potassium perchlorate
H03BX;Прочие антитиреоидные препараты
H03BX01;Diiodotyrosine
H03BX02;Dibromotyrosine
H03C;Препараты йода
H03CA;Препараты йода
H04;Гормоны поджелудочной железы
H04A;Гормоны, расщепляющие гликоген
H04AA;Гормоны, расщепляющие гликоген
H04AA01;Glucagon
H05;Препараты, регулирующие обмен кальция
H05A;Паратиреоидные гормоны
H05AA;Паратиреоидные гормоны
H05AA01;Экстракт паращитовидной железы
H05AA02;Teriparatide
H05AA03;Паратиреоидный гормон
H05B;Антипаратиреоидные гормоны
H05BA;Препараты кальцитонина
H05BA01;Calcitonin (salmon synthetic)
H05BA02;Calcitonin (pork natural)
H05BA03;Calcitonin (human synthetic)
H05BA04;Elcatonin
H05BX;Прочие антипаратиреоидные препараты
H05BX01;Cinacalcet
H05BX02;Paricalcitol
H05BX03;Doxercalciferol
H05BX04;Etelcalcetide
J;Противомикробные препараты для системного применения
J01;Противомикробные препараты для системного применения
J01A;Тетрациклины
J01AA;Тетрациклины
J01AA01;Demeclocycline
J01AA02;Doxycycline
J01AA03;Chlortetracycline
J01AA04;Lymecycline
J01AA05;Metacycline
J01AA06;Oxytetracycline
J01AA07;Tetracycline
J01AA08;Minocycline
J01AA09;Rolitetracycline
J01AA10;Penimepicycline
J01AA11;Clomocycline
J01AA12;Tigecycline
J01AA20;Комбинация тетрациклинов
J01AA56;Окситетрациклин в комбинации с другими препаратами
J01B;Амфениколы
J01BA;Амфениколы
J01BA01;Chloramphenicol
J01BA02;Thiamphenicol
J01BA52;Тиамфеникол в комбинации с другими препаратами
J01C;Бета-лактамные антибиотики - пенициллины
J01CA;Пенициллины широкого спектра действия
J01CA01;Ampicillin
J01CA02;Pivampicillin
J01CA03;Carbenicillin
J01CA04;Amoxicillin
J01CA05;Carindacillin
J01CA06;Bacampicillin
J01CA07;Epicillin
J01CA08;Pivmecillinam
J01CA09;Azlocillin
J01CA10;Mezlocillin
J01CA11;Mecillinam
J01CA12;Piperacillin
J01CA13;Ticarcillin
J01CA14;Metampicillin
J01CA15;Talampicillin
J01CA16;Sulbenicillin
J01CA17;Temocillin
J01CA18;Hetacillin
J01CA20;Комбинации
J01CA51;Ампициллин в комбинации с другими препаратами
J01CE;Пенициллины, чувствительные к бета-лактамазам
J01CE01;Benzylpenicillin
J01CE02;Phenoxymethylpenicillin
J01CE03;Propicillin
J01CE04;Azidocillin
J01CE05;Pheneticillin
J01CE06;Penamecillin
J01CE07;Clometocillin
J01CE08;Benzathine benzylpenicillin
J01CE09;Procaine penicillin
J01CE10;Benzathine phenoxymethylpenicillin
J01CE30;Комбинации
J01CF;Пенициллины, устойчивые к бета-лактамазам
J01CF01;Dicloxacillin
J01CF02;Cloxacillin
J01CF03;Methicillin
J01CF04;Oxacillin
J01CF05;Flucloxacillin
J01CF06;Nafcillin
J01CG;Ингибиторы бета-лактамаз
J01CG01;Sulbactam
J01CG02;Tazobactam
J01CR;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз)
J01CR01;Ампициллин в комбинации с ингибиторами бета-лактамаз
J01CR02;Амоксициллин в комбинации с ингибиторами бета-лактамаз
J01CR03;Тикарциллин в комбинации с ингибиторами бета-лактамаз
J01CR04;Sultamicillin
J01CR05;Пиперациллин в комбинации с ингибиторами бета-лактамаз
J01CR50;Комбинации пенициллинов
J01D;Другие бета-лактамные антибиотики
J01DB;Цефалоспорины первого поколения
J01DB01;Cefalexin
J01DB02;Cefaloridine
J01DB03;Cefalotin
J01DB04;Cefazolin
J01DB05;Cefadroxil
J01DB06;Cefazedone
J01DB07;Cefatrizine
J01DB08;Cefapirin
J01DB09;Cefradine
J01DB10;Cefacetrile
J01DB11;Cefroxadine
J01DB12;Ceftezole
J01DC;Цефалоспорины второго поколения
J01DC01;Cefoxitin
J01DC02;Cefuroxime
J01DC03;Cefamandole
J01DC04;Cefaclor
J01DC05;Cefotetan
J01DC06;Cefonicide
J01DC07;Cefotiam
J01DC08;Loracarbef
J01DC09;Cefmetazole
J01DC10;Cefprozil
J01DC11;Ceforanide
J01DD;Цефалоспорины третьего поколения
J01DD01;Cefotaxime
J01DD02;Ceftazidime
J01DD03;Cefsulodin
J01DD04;Ceftriaxone
J01DD05;Cefmenoxime
J01DD06;Latamoxef
J01DD07;Ceftizoxime
J01DD08;Cefixime
J01DD09;Cefodozime
J01DD10;Cefetamet
J01DD11;Cefpiramide
J01DD12;Cefoperazone
J01DD13;Cefpodoxime
J01DD14;Ceftibuten
J01DD15;Cefdinir
J01DD16;Cefditoren
J01DD17;Cefcapene
J01DD51;Цефотаксим в комбинации с другими препаратами
J01DD52;Цефтазидим, комбинации
J01DD54;Цефтриаксон в комбинации с другими препаратами
J01DD62;Цефоперазон в комбинации с другими препаратами
J01DE;Цефалоспорины четвертого поколения
J01DE01;Cefepime
J01DE02;Cefpirome
J01DE03;Cefozopran
J01DF;Монобактамы
J01DF01;Aztreonam
J01DH;Карбапенемы
J01DH02;Meropenem
J01DH03;Ertapenem
J01DH04;Doripenem
J01DH05;Biapenem
J01DH51;Имипенем в комбинации с циластатином
J01DH55;Панипенем в комбинации с бетамипроном
J01DI;Другие цефалоспорины и пенемы
J01DI01;Ceftobiprole medocaril
J01DI02;Ceftaroline fosamil
J01DI03;Faropenem
J01DI54;Цефтолозан в комбинации с ингибитором ферментов
J01E;Сульфаниламиды и триметоприм
J01EA;Триметоприм и его производные
J01EA01;Trimethoprim
J01EA02;Brodimoprim
J01EA03;Iclaprim
J01EB;Сульфаниламиды короткого действия
J01EB01;Sulfaisodimidine
J01EB02;Sulfamethizole
J01EB03;Sulfadimidine
J01EB04;Sulfapyridine
J01EB05;Sulfafurazole
J01EB06;Sulfanilamide
J01EB07;Sulfathiazole
J01EB08;Sulfathiourea
J01EB20;Комбинации
J01EC;Сульфаниламиды средней продолжительности действия
J01EC01;Sulfamethoxazole
J01EC02;Sulfadiazine
J01EC03;Sulfamoxole
J01EC20;Комбинации
J01ED;Сульфаниламиды длительного действия
J01ED01;Sulfadimethoxine
J01ED02;Sulfalene
J01ED03;Sulfametomidine
J01ED04;Sulfametoxydiazine
J01ED05;Sulfamethoxypyridazine
J01ED06;Sulfaperin
J01ED07;Sulfamerazine
J01ED08;Sulfaphenazole
J01ED09;Sulfamazon
J01ED20;Комбинации
J01EE;Сульфаниламиды в комбинации с триметопримом (включая его производные)
J01EE01;Sulfamethoxazole and trimethoprim
J01EE02;Sulfadiazine and trimethoprim
J01EE03;Sulfametrole and trimethoprim
J01EE04;Sulfamoxole and trimethoprim
J01EE05;Sulfadimidine and trimethoprim
J01EE06;Sulfadiazine and tetroxoprim
J01EE07;Sulfamerazine and trimethoprim
J01F;Макролиды и линкозамиды
J01FA;Макролиды
J01FA01;Erythromycin
J01FA02;Spiramycin
J01FA03;Midecamycin
J01FA05;Oleandomycin
J01FA06;Roxithromycin
J01FA07;Josamycin
J01FA08;Troleandomycin
J01FA09;Clarithromycin
J01FA10;Azithromycin
J01FA11;Miocamycin
J01FA12;Rokitamycin
J01FA13;Dirithromycin
J01FA14;Flurithromycin
J01FA15;Telithromycin
J01FF;Линкозамиды
J01FF01;Clindamycin
J01FF02;Lincomycin
J01FG;Стрептограмины
J01FG01;Pristinamycin
J01FG02;Quinupristin/dalfopristin
J01G;Аминогликозиды
J01GA;Стрептомицины
J01GA01;Streptomycin
J01GA02;Streptoduocin
J01GB;Прочие аминогликозиды
J01GB01;Tobramycin
J01GB03;Gentamicin
J01GB04;Kanamycin
J01GB05;Neomycin
J01GB06;Amikacin
J01GB07;Netilmicin
J01GB08;Sisomicin
J01GB09;Dibekacin
J01GB10;Ribostamycin
J01GB11;Isepamicin
J01GB12;Arbekacin
J01M;Антибактериальные препараты - производные хинолона
J01MA;Фторхинолоны
J01MA01;Ofloxacin
J01MA02;Ciprofloxacin
J01MA03;Pefloxacin
J01MA04;Enoxacin
J01MA05;Temafloxacin
J01MA06;Norfloxacin
J01MA07;Lomefloxacin
J01MA08;Fleroxacin
J01MA09;Sparfloxacin
J01MA10;Rufloxacin
J01MA11;Grepafloxacin
J01MA12;Levofloxacin
J01MA13;Trovafloxacin
J01MA14;Moxifloxacin
J01MA15;Gemifloxacin
J01MA16;Gatifloxacin
J01MA17;Prulifloxacin
J01MA18;Pazufloxacin
J01MA19;Garenoxacin
J01MB;Прочие хинолоны
J01MB01;Rosoxacin
J01MB02;Nalidixic acid
J01MB03;Piromidic acid
J01MB04;Pipemidic acid
J01MB05;Oxolinic acid
J01MB06;Cinoxacin
J01MB07;Flumequine
J01MB08;Nemonoxacin
J01R;Комбинации антибактериальных препаратов
J01RA;Комбинации антибактериальных препаратов
J01RA01;Пенициллины в комбинации с другими антибактериальными препаратами
J01RA02;Сульфаниламиды в комбинации с другими антибактериальными препаратами (исключая комбинации с триметопримом)
J01RA03;Цефуроксим в комбинации с другими антибактериальными препаратами
J01RA04;Спирамицин в комбинации с другими антибактериальными препаратами
J01RA05;Левофлоксацин в комбинации с орнидазолом
J01RA06;Цефепим в комбинации с амикацином
J01RA07;Азитромицин в комбинации с флуконазолом и секнидазолом
J01RA08;Тетрациклин в комбинации с олеандомицином
J01RA11;Ципрофлоксацин в комбинации с тинидазолом
J01RA12;Ципрофлоксацин и орнидазол
J01X;Другие антибактериальные препараты
J01XA;Антибиотики гликопептидной структуры
J01XA01;Vancomycin
J01XA02;Teicoplanin
J01XA03;Telavancin
J01XA04;Dalbavancin
J01XA05;Oritavancin
J01XB;Полимиксины
J01XB01;Colistin
J01XB02;Polymyxin B
J01XC;Антибиотики стероидной структуры
J01XC01;Fusidic acid
J01XD;Производные имидазола
J01XD01;Metronidazole
J01XD02;Tinidazole
J01XD03;Ornidazole
J01XE;Производные нитрофурана
J01XE01;Nitrofurantoin
J01XE02;Nifurtoinol
J01XE03;Furazidin
J01XX;Другие антибактериальные препараты
J01XX01;Fosfomycin
J01XX02;Xibornol
J01XX03;Clofoctol
J01XX04;Spectinomycin
J01XX05;Methenamine
J01XX06;Mandelic acid
J01XX07;Nitroxoline
J01XX08;Linezolid
J01XX09;Daptomycin
J01XX10;Bacitracin
J01XX11;Tedizolid
J02;Противогрибковые препараты для системного применения
J02A;Противогрибковые препараты для системного применения
J02AA;Противогрибковые антибиотики
J02AA01;Amphotericin B
J02AA02;Hachimycin
J02AB;Производные имидазола
J02AB01;Miconazole
J02AB02;Ketoconazole
J02AC;Производные триазола
J02AC01;Fluconazole
J02AC02;Itraconazole
J02AC03;Voriconazole
J02AC04;Posaconazole
J02AC05;Isavuconazole
J02AX;Прочие противогрибковые препараты для системного применения
J02AX01;Flucytosine
J02AX04;Caspofungin
J02AX05;Micafungin
J02AX06;Anidulafungin
J04;Препараты, активные в отношении микобактерий
J04A;Противотуберкулезные препараты
J04AA;Аминосалициловая кислота и ее производные
J04AA01;Aminosalicylic acid
J04AA02;Sodium aminosalicylate
J04AA03;Calcium aminosalicylate
J04AB;Антибиотики
J04AB01;Cycloserine
J04AB02;Rifampicin
J04AB03;Rifamycin
J04AB04;Rifabutin
J04AB05;Rifapentine
J04AB30;Capreomycin
J04AC;Производные гидразида изоникотиновой кислоты
J04AC01;Isoniazid
J04AC51;Изониазид в комбинации с другими препаратами
J04AD;Производные тиокарбамида
J04AD01;Protionamide
J04AD02;Tiocarlide
J04AD03;Ethionamide
J04AK;Прочие противотуберкулезные препараты
J04AK01;Pyrazinamide
J04AK02;Ethambutol
J04AK03;Terizidone
J04AK04;Morinamide
J04AK05;Bedaquiline
J04AK06;Delamanid
J04AM;Комбинации противотуберкулезных препаратов
J04AM01;Стрептомицин в комбинации с изониазидом
J04AM02;Рифампицин в комбинации с изониазидом
J04AM03;Этамбутол в комбинации с изониазидом
J04AM04;Тиоацетазон в комбинации с изониазидом
J04AM05;Рифампицин в комбинации с пиразинамидом и изониазидом
J04AM06;Рифампицин в комбинации с пиразинамидом, этамбутолом и изониазидом
J04B;Противолепрозные препараты
J04BA;Противолепрозные препараты
J04BA01;Clofazimine
J04BA02;Dapsone
J04BA03;Aldesulfone sodium
J05;Противовирусные препараты для системного применения
J05A;Противовирусные препараты прямого действия
J05AA;Тиосемикарбазоны
J05AA01;Metisazone
J05AB;Нуклеозиды и нуклеотиды
J05AB01;Aciclovir
J05AB02;Idoxuridine
J05AB03;Vidarabine
J05AB06;Ganciclovir
J05AB09;Famciclovir
J05AB11;Valaciclovir
J05AB12;Cidofovir
J05AB13;Penciclovir
J05AB14;Valganciclovir
J05AB15;Brivudine
J05AC;Циклические амины
J05AC02;Rimantadine
J05AC03;Tromantadine
J05AD;Производные фосфоновой кислоты
J05AD01;Foscarnet
J05AD02;Fosfonet
J05AE;Ингибиторы протеазы
J05AE01;Saquinavir
J05AE02;Indinavir
J05AE03;Ritonavir
J05AE04;Nelfinavir
J05AE05;Amprenavir
J05AE06;Lopinavir
J05AE07;Fosamprenavir
J05AE08;Atazanavir
J05AE09;Tipranavir
J05AE10;Darunavir
J05AE11;Telaprevir
J05AE12;Boceprevir
J05AE14;Simeprevir
J05AE15;Asunaprevir
J05AF;Нуклеозиды - ингибиторы обратной транскриптазы
J05AF01;Zidovudine
J05AF02;Didanosine
J05AF03;Zalcitabine
J05AF04;Stavudine
J05AF05;Lamivudine
J05AF06;Abacavir
J05AF07;Tenofovir disoproxil
J05AF08;Adefovir dipivoxil
J05AF09;Emtricitabine
J05AF10;Entecavir
J05AF11;Telbivudine
J05AF12;Clevudine
J05AF13;Tenofovir alafenamide
J05AF30;Ингибиторы обратной транскриптазы в комбинации
J05AG;Ненуклеозиды - ингибиторы обратной транскриптазы
J05AG01;Nevirapine
J05AG02;Delavirdine
J05AG03;Efavirenz
J05AG04;Etravirine
J05AG05;Rilpivirine
J05AG06;Doravirin
J05AH;Ингибиторы нейраминидазы
J05AH01;Zanamivir
J05AH02;Oseltamivir
J05AP;Противовирусные препараты для лечения ВИЧ инфекции
J05AP01;Ribavirin
J05AP08;Sofosbuvir
J05AP51;Софосбувир и ледипасвир
J05AP52;Dasabuvir, ombitasvir, paritaprevir and ritonavir
J05AP54;Элбасвир и гразопревир
J05AP55;Софосбувир и велпатасвир
J05AP57;Глекапревир и пибрентасвир
J05AR;Комбинации противовирусных препаратов, активных в отношении ВИЧ
J05AR01;Зидовудин и ламивудин
J05AR02;Ламивудин и абакавир
J05AR03;Тенофовира дизопроксил и эмтрицитабин
J05AR04;Зидовудин, ламивудин и абакавир
J05AR05;Зидовудин, ламивудин и невирапин
J05AR06;Эмтрицитабин, тенофовира дизопроксил и эфавиренз
J05AR07;Ставудин, ламивудин и невирапин
J05AR08;Эмтрицитабин, тенофовира дизопроксил и рилпивирин
J05AR10;Лопинавир и ритонавир
J05AR11;Ламивудин, тенофовира дизопроксил и эфавиренз
J05AR15;Атазанавир и кобицистат
J05AR16;Ламивудин и ралтегравир
J05AR17;Эмтрицитабин и тенофовир алафенамид
J05AR18;Эмтрицитабин, тенофовир алафенамид, элвитегравир и кобицистат
J05AR19;Эмтрицитабин, тенофовир алафенамид и рилпивирин
J05AR20;Эмтрицитабин, тенофовир алафенамид и биктегравир
J05AR24;Ламивудин, тенофовира дизопроксил и доравирин
J05AX;Прочие противовирусные препараты
J05AX01;Moroxydine
J05AX02;Lysozyme
J05AX05;Inosine pranobex
J05AX06;Pleconaril
J05AX07;Enfuviritide
J05AX08;Raltegravir
J05AX09;Maraviroc
J05AX10;Maribavir
J05AX11;Elvitegravir
J05AX12;Dolutegravir
J05AX13;Umifenovir
J05AX14;Daclatasvir
J05AX16;Dasabuvir
J05AX19;Tilorone
J05AX21;Pentanedioic acid imidazolyl ethanamide
J05AX25;Baloxavir marboxil
J05AX27;Favipiravir
J05AX65;Софосбувир и ледипасвир
J05AX66;Дасабувир, омбитасвир, паритапревир и ритонавир
J05AX67;Омбитасвир, паритапревир и ритонавир
J06;Иммунные сыворотки и иммуноглобулины
J06A;Иммунные сыворотки
J06AA;Иммунные сыворотки
J06AA01;Diphteria antitoxin
J06AA02;Tetanus antitoxin
J06AA03;Snake venom antiserum
J06AA04;Botulinum antitoxin
J06AA05;Gas-gangrene sera
J06AA06;Rabies serum
J06B;Иммуноглобулины
J06BA;Иммуноглобулин нормальный человеческий
J06BA01;Immunoglobulin normal human, for extravascular administration
J06BA02;Immunoglobulin normal human, for intravascular administration
J06BB;Иммуноглобулины специфические
J06BB01;Anti-D(rh) immunoglobulin
J06BB02;Tetanus immunoglobulin
J06BB03;Varicella/zoster immunoglobulin
J06BB04;Hepatitis B immunoglobulin
J06BB05;Rabies immunoglobulin
J06BB06;Rubella immunoglobulin
J06BB07;Vaccinia immunoglobulin
J06BB08;Staphylococcus immunoglobulin
J06BB09;Cytomegalovirus immunoglobulin
J06BB10;Diphtheria immunoglobulin
J06BB11;Hepatitis A immunoglobulin
J06BB12;Encephalitis, tick borne immunoglobulin
J06BB13;Pertussis immunoglobulin
J06BB14;Measles immunoglobulin
J06BB15;Mumps immunoglobulin
J06BB16;Palivizumab
J06BB19;Anthrax immunoglobulin
J06BB21;Bezlotoxumab
J06BB30;Комбинации
J06BC;Прочие иммуноглобулины
J06BC01;Nebacumab
J07;Вакцины
J07A;Вакцины для профилактики бактериальных инфекций
J07AC;Вакцина для профилактики сибирской язвы
J07AC01;Anthrax antigen
J07AD;Вакцина для профилактики бруцеллеза
J07AD01;Brucella antigen
J07AE;Вакцина для профилактики холеры
J07AE01;Cholera, inactivated, whole cell
J07AE02;Cholera, live attenuated
J07AE51;Cholera, combinations with typhoid vaccine, innactivated, whole cell
J07AF;Вакцина для профилактики дифтерии
J07AF01;Diphtheria toxoid
J07AG;Вакцина для профилактики инфекций, вызываемых Haemophilus influenza B
J07AG01;Hemophilus influenza B, purified antigen conjugated
J07AG51;Hemophilus influenza B, combinations with toxoids
J07AG52;Hemophilus influenza B, combinations with pertussis and toxoids
J07AG53;Hemophilus influenzae B, combinations with meningococcus C, conjugated
J07AH;Вакцина для профилактики менингита
J07AH01;Meningococcus A, purified polysaccharides antigen
J07AH02;Other meningococcal monovalent, purified polysaccharid antigen
J07AH03;Meningococcus, bivalent purified polysaccharides antigen
J07AH04;Meningococcus, tetravalent purified polysaccharides antigen
J07AH05;Other meningococcal polyvalent purified polysaccharides antigen
J07AH06;Meningococcus B, outer membrane vesicle vaccine
J07AH07;Meningococcus C, purified polysaccharides antigen conjugated
J07AH08;Meningococcus, tetravalent purified polysaccharides antigen conjugated
J07AH09;Meningococcus B, multicomponent vaccine
J07AJ;Вакцина для профилактики коклюша
J07AJ01;Pertussis, inactivated, whole cell
J07AJ02;Pertussis, purified antigen
J07AJ51;Pertussis, inactivated, whole cell, combinations with toxoids
J07AJ52;Pertussis, purified antigen, combinations with toxoids
J07AK;Вакцина для профилактики чумы
J07AK01;Plague, inactivated, whole cell
J07AL;Вакцина для профилактики пневмококковой инфекции
J07AL01;Pneumococcus, purified polysaccharides antigen
J07AL02;Pneumococcus, purified polysaccharides antigen conjugated
J07AL52;Pneumococcus purified polysaccharides antigen and Haemophilus influenzae, conjugated
J07AM;Вакцина для профилактики столбняка
J07AM01;Tetanus toxoid
J07AM51;Tetanus toxoid, combinations with diphtheria toxoid
J07AM52;Tetanus toxoid, combnations with tetanus immunoglobulin
J07AN;Вакцина для профилактики туберкулеза
J07AN01;Tuberculosis, live attenuated
J07AP;Вакцина для профилактики брюшного тифа
J07AP01;Typhoid, oral, live attenuated
J07AP02;Typhoid, inactivated, whole cell
J07AP03;Typhoid, purified polysaccharides antigen
J07AP10;Typhoid, combinations with paratyphi types
J07AR;Вакцины для профилактики сыпного тифа
J07AR01;Typhus exanthematicus, inactivated, whole cell
J07AX;Другие вакцины для профилактики бактериальных инфекций
J07B;Вакцины для профилактики вирусных инфекций
J07BA;Вакцина для профилактики энцефалита
J07BA01;Encephalitis, tick borne, inactivated, whole virus
J07BA02;Encephalitis, japanese, inactivated, whole virus
J07BA03;Encephalitis, japanese, live attenuated
J07BB;Вакцина для профилактики гриппа
J07BB01;Influenza, inactivated, whole virus
J07BB02;Influenza, purified antigen
J07BB03;Influenza, live attenuated
J07BC;Вакцина для профилактики гепатита
J07BC01;Hepatitis B, purified antigen
J07BC02;Hepatitis A, inactivated, whole virus
J07BC20;Комбинации
J07BD;Вакцина для профилактики кори
J07BD01;Measles, live attenuated
J07BD51;Measles, combinatinations with mumps, live attenuated
J07BD52;Measles, combinations with mumps & rubella, live attenuated
J07BD53;Measles, combinations with rubella, live attenuated
J07BD54;Measles, combinations with mumps, rubella and varicella, live attenuated
J07BE;Вакцина для профилактики паротита
J07BE01;Mumps, live attenuated
J07BF;Вакцины для профилактики полиомиелита
J07BF01;Poliomyelitis oral, monovalent, live attenuated
J07BF02;Poliomyelitis oral, trivalent, live attenuated
J07BF03;Poliomyelitis, trivalent, inactivated, whole virus
J07BF04;Poliomyelitis oral, bivalent, live attenuated
J07BG;Вакцина для профилактики бешенства
J07BG01;Rabies, inactivated, whole virus
J07BH;Вакцина для профилактики рота-вирусной диареи
J07BH01;Rota virus, live attenuated
J07BH02;Rota virus, pentavalent, live, reassorted
J07BJ;Вакцина для профилактики краснухи
J07BJ01;Rubella, live attenuated
J07BJ51;Rubella, combinations with mumps, live attenuated
J07BK;Вакцина для профилактики заболеваний, вызываемых вирусом Varicella zoster
J07BK01;Varicella, live attenuated
J07BK02;Zoster, live attenuated
J07BL;Вакцина для профилактики желтой лихорадки
J07BL01;Yellow fever, live attenuated
J07BM;Вакцина для профилактики заболеваний, вызываемых вирусом папилломы человека
J07BM01;Papillomavirus (human types 6, 11, 16, 18)
J07BM02;Papillomavirus (human types 16, 18)
J07BM03;Papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)
J07BX;Другие вакцины для профилактики вирусных инфекций
J07BX01;Smallpox, live attenuated
J07C;Комбинация вакцин для профилактики вирусных и бактериальных инфекций
J07CA;Комбинация вакцин для профилактики вирусных и бактериальных инфекций
J07CA01;Diphtheria-poliomyelitis-tetanus
J07CA02;Diphtheria-pertussis-poliomyelitis-tetanus
J07CA03;Diphtheria-rubella-tetanus
J07CA04;Haemophilus influenza B and poliomyelitis
J07CA05;Diphtheria-hepatitis B-pertussis-tetanus
J07CA06;Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus
J07CA07;Diphtheria, hepatitis B, tetanus
J07CA08;Haemophilus influenzae B and hepatitis B
J07CA09;Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B
J07CA10;Typhoid-hepatitis A
J07CA11;Diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B
J07CA12;Diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B
J07CA13;Diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A + C
J07X;Другие вакцины
L;Противоопухолевые препараты и иммуномодуляторы
L01;Противоопухолевые препараты
L01A;Алкилирующие препараты
L01AA;Аналоги азотистого иприта
L01AA01;Cyclophosphamide
L01AA02;Chlorambucil
L01AA03;Melphalan
L01AA05;Chlormethine
L01AA06;Ifosfamide
L01AA07;Trofosfamide
L01AA08;Prednimustine
L01AA09;Bendamustine
L01AB;Алкилсульфонаты
L01AB01;Busulfan
L01AB02;Treosulfan
L01AB03;Mannosulfan
L01AC;Этиленимины
L01AC01;Thiotepa
L01AC02;Triaziquone
L01AC03;Carboquone
L01AD;Производные нитрозомочевины
L01AD01;Carmustine
L01AD02;Lomustine
L01AD03;Semustine
L01AD04;Streptozocin
L01AD05;Fotemustine
L01AD06;Nimustine
L01AD07;Ranimustine
L01AG;Эпоксиды
L01AG01;Etoglucid
L01AX;Прочие алкилирующие препараты
L01AX01;Mitobronitol
L01AX02;Pipobroman
L01AX03;Temozolomide
L01AX04;Dacarbazine
L01B;Антиметаболиты
L01BA;Аналоги фолиевой кислоты
L01BA01;Methotrexate
L01BA03;Raltitrexed
L01BA04;Pemetrexed
L01BA05;Pralatrexate
L01BB;Аналоги пурина
L01BB02;Mercaptopurine
L01BB03;Tioguanine
L01BB04;Cladribine
L01BB05;Fludarabine
L01BB06;Clofarabine
L01BB07;Nelarabine
L01BC;Аналоги пиримидина
L01BC01;Cytarabine
L01BC02;Fluorouracil
L01BC03;Tegafur
L01BC04;Carmofur
L01BC05;Gemcitabine
L01BC06;Capecitabine
L01BC07;Azacitidine
L01BC08;Decitabine
L01BC52;Фторурацил в комбинации с другими препаратами
L01BC53;Тегафур в комбинации с другими препаратами
L01C;Алкалоиды растительного происхождения и другие препараты естественного происхождения
L01CA;Алкалоиды барвинка и его аналоги
L01CA01;Vinblastine
L01CA02;Vincristine
L01CA03;Vindesine
L01CA04;Vinorelbine
L01CA05;Vinflunine
L01CA06;Vintafolide
L01CB;Производные подофиллотоксина
